team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
Pakistan,New Zealand,278,212,5,10,Pakistan,Day and night,New Zealand tour of Pakistan,Shoaib Malik,Pakistan,Pakistan,bat first,Pakistan,home,2002
West Indies,India,186,187,10,3,India,Day,India tour of West Indies,Dinesh Mongia,India,India,field first,West Indies,away,2002
India,West Indies,123,124,10,3,West Indies,Day,India tour of West Indies,Chris Gayle,West Indies,India,bat first,West Indies,home,2002
India,West Indies,260,191,10,10,India,Day,India tour of West Indies,Sachin Tendulkar,India,India,bat first,West Indies,away,2002
New Zealand,West Indies,248,250,7,4,West Indies,Day,New Zealand tour of West Indies,Shivnarine Chanderpaul,West Indies,West Indies,field first,West Indies,home,2002
New Zealand,West Indies,210,211,7,3,West Indies,Day,New Zealand tour of West Indies,Brian Lara,West Indies,New Zealand,bat first,West Indies,home,2002
Pakistan,Australia,176,177,8,3,Australia,Day and night,Pakistan tour of Australia,Adam Gilchrist,Australia,Australia,field first,Australia,home,2002
New Zealand,West Indies,212,202,5,9,New Zealand,Day,New Zealand tour of West Indies,Scott Styris,New Zealand,New Zealand,bat first,West Indies,away,2002
Australia,Pakistan,167,168,10,8,Pakistan,Day and night,Pakistan tour of Australia,Younis Khan,Pakistan,Australia,bat first,Australia,away,2002
New Zealand,West Indies,291,292,8,6,West Indies,Day,New Zealand tour of West Indies,Chris Gayle,West Indies,New Zealand,bat first,West Indies,home,2002
Pakistan,Australia,256,165,7,10,Pakistan,Day and night,Pakistan tour of Australia,Shoaib Akhtar,Pakistan,Pakistan,bat first,Australia,away,2002
England,Sri Lanka,293,249,6,9,England,Day and night,NatWest Series,Andrew Flintoff,England,England,bat first,England,home,2002
England,India,271,272,7,4,India,Day,,Yuvraj Singh,India,England,bat first,England,away,2002
Sri Lanka,India,202,203,8,6,India,Day,,Ajit Agarkar,India,Sri Lanka,bat first,England,away,2002
Sri Lanka,England,240,241,7,7,England,Day,,Sanath Jayasuriya,Sri Lanka,England,field first,England,home,2002
Sri Lanka,India,187,188,10,6,India,Day,,Rahul Dravid,India,India,field first,England,away,2002
Sri Lanka,England,229,206,10,10,Sri Lanka,Day,,Kumar Sangakkara,Sri Lanka,Sri Lanka,bat first,England,away,2002
England,India,229,165,8,10,England,Day,,Ronnie Irani,England,India,field first,England,home,2002
India,Sri Lanka,304,241,10,10,India,Day and night,NatWest Series,Sachin Tendulkar,India,India,bat first,England,away,2002
England,India,325,326,5,8,India,Day,NatWest Series,Mohammad Kaif,India,England,bat first,England,away,2002
Bangladesh,Sri Lanka,226,228,8,5,Sri Lanka,Day,Bangladesh tour of Sri Lanka,Marvan Atapattu,Sri Lanka,Bangladesh,bat first,Sri Lanka,home,2002
Bangladesh,Sri Lanka,76,77,10,2,Sri Lanka,Day,Bangladesh tour of Sri Lanka,Dilhara Fernando,Sri Lanka,Bangladesh,bat first,Sri Lanka,home,2002
Sri Lanka,Bangladesh,258,200,6,10,Sri Lanka,Day,Bangladesh tour of Sri Lanka,Russel Arnold,Sri Lanka,Bangladesh,field first,Sri Lanka,home,2002
South Africa,Pakistan,283,229,9,10,South Africa,Day,Morocco Cup,Herschelle Gibbs,South Africa,South Africa,bat first,Morocco,away,2002
Pakistan,Sri Lanka,279,251,5,8,Pakistan,Day,Morocco Cup,Younis Khan,Pakistan,Sri Lanka,field first,Morocco,away,2002
Sri Lanka,South Africa,267,174,7,10,Sri Lanka,Day,Morocco Cup,Aravinda de Silva,Sri Lanka,Sri Lanka,bat first,Morocco,away,2002
Sri Lanka,Pakistan,242,203,10,10,Sri Lanka,Day,Morocco Cup,Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,Morocco,away,2002
South Africa,Pakistan,196,188,8,10,South Africa,Day,Morocco Cup,Allan Donald,South Africa,South Africa,bat first,Morocco,away,2002
South Africa,Sri Lanka,220,221,6,4,Sri Lanka,Day,Morocco Cup,Aravinda de Silva,Sri Lanka,South Africa,bat first,Morocco,away,2002
Sri Lanka,South Africa,235,208,7,10,Sri Lanka,Day,Morocco Cup,Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,Morocco,away,2002
Kenya,Pakistan,133,134,10,6,Pakistan,Day,PSO Tri-Nation Tournament,Abdul Razzaq,Pakistan,Pakistan,field first,Kenya,away,2002
Australia,Pakistan,332,108,5,10,Australia,Day,PSO Tri-Nation Tournament,Matthew Hayden,Australia,Pakistan,field first,Kenya,away,2002
Kenya,Pakistan,179,181,10,3,Pakistan,Day,PSO Tri-Nation Tournament,Younis Khan,Pakistan,Kenya,bat first,Kenya,away,2002
Kenya,Australia,84,85,10,2,Australia,Day,PSO Tri-Nation Tournament,Glenn McGrath,Australia,Australia,field first,Kenya,away,2002
Pakistan,Australia,117,121,10,1,Australia,Day,PSO Tri-Nation Tournament,Brett Lee,Australia,Pakistan,bat first,Kenya,away,2002
Kenya,Australia,204,205,9,5,Australia,Day,PSO Tri-Nation Tournament,Maurice Odumbe,Kenya,Kenya,bat first,Kenya,away,2002
Pakistan,Sri Lanka,200,201,10,2,Sri Lanka,Day and night,ICC Champions Trophy,Sanath Jayasuriya,Sri Lanka,Pakistan,bat first,Sri Lanka,home,2002
West Indies,South Africa,238,242,8,8,South Africa,Day,ICC Champions Trophy,Jonty Rhodes,South Africa,South Africa,field first,Sri Lanka,away,2002
India,Zimbabwe,288,274,6,8,India,Day and night,ICC Champions Trophy,Mohammad Kaif,India,India,bat first,Sri Lanka,away,2002
Australia,New Zealand,296,132,7,10,Australia,Day,ICC Champions Trophy,Glenn McGrath,Australia,Australia,bat first,Sri Lanka,away,2002
Sri Lanka,Netherlands,292,86,6,10,Sri Lanka,Day and night,ICC Champions Trophy,Marvan Atapattu,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2002
West Indies,Kenya,261,232,6,10,West Indies,Day,ICC Champions Trophy,Brian Lara,West Indies,West Indies,bat first,Sri Lanka,away,2002
England,Zimbabwe,298,190,8,9,England,Day and night,ICC Champions Trophy,Marcus Trescothick,England,England,bat first,Sri Lanka,away,2002
Bangladesh,Australia,129,133,10,1,Australia,Day,ICC Champions Trophy,Jason Gillespie,Australia,Bangladesh,bat first,Sri Lanka,away,2002
South Africa,Kenya,316,140,5,10,South Africa,Day and night,ICC Champions Trophy,Herschelle Gibbs,South Africa,South Africa,bat first,Sri Lanka,away,2002
Netherlands,Pakistan,136,142,10,1,Pakistan,Day,ICC Champions Trophy,Shahid Afridi,Pakistan,Netherlands,bat first,Sri Lanka,away,2002
England,India,269,271,7,2,India,Day and night,ICC Champions Trophy,Virender Sehwag,India,England,bat first,Sri Lanka,away,2002
New Zealand,Bangladesh,244,77,9,10,New Zealand,Day,ICC Champions Trophy,Shane Bond,New Zealand,Bangladesh,field first,Sri Lanka,away,2002
India,South Africa,261,251,9,6,India,Day and night,ICC Champions Trophy,Virender Sehwag,India,India,bat first,Sri Lanka,away,2002
Australia,Sri Lanka,162,163,10,3,Sri Lanka,Day and night,ICC Champions Trophy,Aravinda de Silva,Sri Lanka,Australia,bat first,Sri Lanka,home,2002
South Africa,Bangladesh,301,133,8,10,South Africa,Day and night,Bangladesh tour of South Africa,Herschelle Gibbs,South Africa,South Africa,bat first,South Africa,home,2002
Bangladesh,South Africa,154,155,9,0,South Africa,Day,Bangladesh tour of South Africa,Herschelle Gibbs,South Africa,South Africa,field first,South Africa,home,2002
Bangladesh,South Africa,151,152,10,3,South Africa,Day and night,Bangladesh tour of South Africa,Shaun Pollock,South Africa,Bangladesh,bat first,South Africa,home,2002
India,West Indies,283,285,6,6,West Indies,Day,West Indies tour of India,Ramnaresh Sarwan,West Indies,India,bat first,India,away,2002
India,West Indies,279,280,9,3,West Indies,Day,West Indies tour of India,Chris Gayle,West Indies,West Indies,field first,India,away,2002
West Indies,India,300,200,5,1,India,Day,West Indies tour of India,Virender Sehwag,India,India,field first,India,home,2002
West Indies,India,324,325,4,5,India,Day and night,West Indies tour of India,Chris Gayle,West Indies,India,field first,India,home,2002
India,West Indies,290,291,8,5,West Indies,Day,West Indies tour of India,Wavell Hinds,West Indies,West Indies,field first,India,away,2002
West Indies,India,201,202,10,7,India,Day,West Indies tour of India,Ajit Agarkar,India,India,field first,India,home,2002
Pakistan,Zimbabwe,302,295,4,9,Pakistan,Day,Pakistan tour of Zimbabwe,Mohammad Yousuf,Pakistan,Pakistan,bat first,Zimbabwe,away,2002
West Indies,India,315,180,6,10,West Indies,Day,West Indies tour of India,Marlon Samuels,West Indies,India,field first,India,away,2002
Pakistan,Zimbabwe,344,140,5,6,Pakistan,Day,Pakistan tour of Zimbabwe,Saleem Elahi,Pakistan,Pakistan,bat first,Zimbabwe,away,2002
Pakistan,Zimbabwe,323,275,3,7,Pakistan,Day,Pakistan tour of Zimbabwe,Mohammad Yousuf,Pakistan,Zimbabwe,field first,Zimbabwe,away,2002
Sri Lanka,South Africa,128,129,10,4,South Africa,Day,Sri Lanka tour of South Africa,Shaun Pollock,South Africa,South Africa,field first,South Africa,home,2002
South Africa,Sri Lanka,317,140,6,10,South Africa,Day and night,Sri Lanka tour of South Africa,Jacques Kallis,South Africa,South Africa,bat first,South Africa,home,2002
Zimbabwe,Pakistan,210,211,10,2,Pakistan,Day,Pakistan tour of Zimbabwe,Faisal Iqbal,Pakistan,Zimbabwe,bat first,Zimbabwe,away,2002
Pakistan,Zimbabwe,300,230,7,10,Pakistan,Day,Pakistan tour of Zimbabwe,Younis Khan,Pakistan,Zimbabwe,field first,Zimbabwe,away,2002
South Africa,Sri Lanka,253,258,7,3,Sri Lanka,Day,Sri Lanka tour of South Africa,Marvan Atapattu,Sri Lanka,Sri Lanka,field first,South Africa,away,2002
West Indies,Bangladesh,266,182,4,10,West Indies,Day and night,West Indies tour of Bangladesh,Ramnaresh Sarwan,West Indies,West Indies,bat first,Bangladesh,away,2002
West Indies,Bangladesh,281,195,5,9,West Indies,Day and night,West Indies tour of Bangladesh,Vasbert Drakes,West Indies,West Indies,bat first,Bangladesh,away,2002
Sri Lanka,South Africa,184,190,10,2,South Africa,Day and night,Sri Lanka tour of South Africa,Herschelle Gibbs,South Africa,South Africa,field first,South Africa,home,2002
Sri Lanka,South Africa,228,229,8,4,South Africa,Day and night,Sri Lanka tour of South Africa,Shaun Pollock,South Africa,Sri Lanka,bat first,South Africa,home,2002
South Africa,Pakistan,272,140,7,10,South Africa,Day,Pakistan tour of South Africa,Jonty Rhodes,South Africa,Pakistan,field first,South Africa,home,2002
Zimbabwe,Kenya,273,181,4,6,Zimbabwe,Day,Kenya tour of Zimbabwe,Travis Friend,Zimbabwe,Kenya,field first,Zimbabwe,home,2002
Pakistan,South Africa,335,153,6,10,Pakistan,Day and night,Pakistan tour of South Africa,Saleem Elahi,Pakistan,Pakistan,bat first,South Africa,away,2002
England,Australia,251,252,8,3,Australia,Day and night,VB Series,Matthew Hayden,Australia,England,bat first,Australia,home,2002
South Africa,Pakistan,182,120,10,10,South Africa,Day and night,Pakistan tour of South Africa,Shaun Pollock,South Africa,South Africa,bat first,South Africa,home,2002
Australia,England,318,229,6,10,Australia,Day and night,VB Series,Adam Gilchrist,Australia,Australia,bat first,Australia,home,2002
Kenya,Zimbabwe,133,136,10,1,Zimbabwe,Day,Kenya tour of Zimbabwe,Henry Olonga,Zimbabwe,Kenya,bat first,Zimbabwe,home,2002
Pakistan,South Africa,213,214,10,1,South Africa,Day,Pakistan tour of South Africa,Gary Kirsten,South Africa,Pakistan,bat first,South Africa,home,2002
England,Sri Lanka,292,249,10,6,England,Day and night,VB Series,Alec Stewart,England,England,bat first,Australia,away,2002
South Africa,Pakistan,265,231,8,10,South Africa,Day and night,Pakistan tour of South Africa,Jonty Rhodes,South Africa,South Africa,bat first,South Africa,home,2002
England,Sri Lanka,258,163,9,10,England,Day and night,VB Series,Paul Collingwood,England,England,bat first,Australia,away,2002
Australia,Sri Lanka,305,163,5,10,Australia,Day and night,VB Series,Darren Lehmann,Australia,Australia,bat first,Australia,home,2002
India,New Zealand,108,109,10,7,New Zealand,Day and night,India tour of New Zealand,Jacob Oram,New Zealand,New Zealand,field first,New Zealand,home,2002
New Zealand,India,254,219,9,10,New Zealand,Day,India tour of New Zealand,Virender Sehwag,India,India,field first,New Zealand,home,2002
India,New Zealand,108,109,10,5,New Zealand,Day and night,India tour of New Zealand,Daryl Tuffey,New Zealand,India,bat first,New Zealand,home,2003
India,New Zealand,122,123,10,3,New Zealand,Day,India tour of New Zealand,Andre Adams,New Zealand,New Zealand,field first,New Zealand,home,2003
New Zealand,India,168,169,10,8,India,Day and night,India tour of New Zealand,Zaheer Khan,India,New Zealand,bat first,New Zealand,away,2003
Sri Lanka,Australia,343,264,5,10,Sri Lanka,Day and night,VB Series,Sanath Jayasuriya,Sri Lanka,Australia,field first,Australia,away,2003
Australia,England,271,264,4,7,Australia,Day,VB Series,Damien Martyn,Australia,Australia,bat first,Australia,home,2003
New Zealand,India,199,200,9,9,India,Day and night,India tour of New Zealand,Virender Sehwag,India,India,field first,New Zealand,away,2003
Sri Lanka,England,284,253,7,10,Sri Lanka,Day and night,VB Series,Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,Australia,away,2003
India,New Zealand,122,125,10,4,New Zealand,Day and night,India tour of New Zealand,Stephen Fleming,New Zealand,New Zealand,field first,New Zealand,home,2003
Sri Lanka,Australia,211,214,9,6,Australia,Day and night,VB Series,Michael Bevan,Australia,Sri Lanka,bat first,Australia,home,2003
England,Sri Lanka,279,260,7,10,England,Day and night,VB Series,Andy Caddick,England,England,bat first,Australia,away,2003
England,Australia,152,153,10,6,Australia,Day and night,VB Series,Nathan Bracken,Australia,England,bat first,Australia,home,2003
Sri Lanka,Australia,214,215,8,1,Australia,Day and night,VB Series,Ricky Ponting,Australia,Sri Lanka,bat first,Australia,home,2003
England,Australia,117,118,10,0,Australia,Day and night,VB Series,Brett Lee,Australia,England,bat first,Australia,home,2003
Australia,England,229,224,7,10,Australia,Day and night,VB Series,Brett Lee,Australia,Australia,bat first,Australia,home,2003
West Indies,South Africa,278,275,5,9,West Indies,Day and night,ICC World Cup,Brian Lara,West Indies,West Indies,bat first,South Africa,away,2003
Zimbabwe,Namibia,340,104,2,5,Zimbabwe,Day,ICC World Cup,Craig Wishart,Zimbabwe,Namibia,field first,Zimbabwe,home,2003
Sri Lanka,New Zealand,272,225,7,10,Sri Lanka,Day,ICC World Cup,Sanath Jayasuriya,Sri Lanka,New Zealand,field first,South Africa,away,2003
Australia,Pakistan,310,228,8,10,Australia,Day,ICC World Cup,Andrew Symonds,Australia,Pakistan,field first,South Africa,away,2003
Canada,Bangladesh,180,120,10,10,Canada,Day and night,ICC World Cup,Austin Codrington,Canada,Canada,bat first,South Africa,away,2003
Kenya,South Africa,140,142,10,0,South Africa,Day,ICC World Cup,Lance Klusener,South Africa,Kenya,bat first,South Africa,home,2003
India,Netherlands,204,136,10,10,India,Day,ICC World Cup,Tim de Leede,Netherlands,India,bat first,South Africa,away,2003
New Zealand,West Indies,241,221,7,10,New Zealand,Day,ICC World Cup,Andre Adams,New Zealand,West Indies,field first,South Africa,away,2003
Bangladesh,Sri Lanka,124,126,10,0,Sri Lanka,Day,ICC World Cup,Chaminda Vaas,Sri Lanka,Sri Lanka,field first,South Africa,away,2003
India,Australia,125,128,10,1,Australia,Day,ICC World Cup,Jason Gillespie,Australia,India,bat first,South Africa,away,2003
Canada,Kenya,197,198,10,6,Kenya,Day and night,ICC World Cup,Thomas Odoyo,Kenya,Canada,bat first,South Africa,away,2003
Netherlands,England,142,144,9,4,England,Day,ICC World Cup,James Anderson,England,England,field first,South Africa,away,2003
Pakistan,Namibia,255,84,9,10,Pakistan,Day,ICC World Cup,Wasim Akram,Pakistan,Pakistan,bat first,South Africa,away,2003
South Africa,New Zealand,306,229,6,1,New Zealand,Day,ICC World Cup,Stephen Fleming,New Zealand,South Africa,bat first,South Africa,away,2003
India,Zimbabwe,255,172,7,10,India,Day,ICC World Cup,Sachin Tendulkar,India,Zimbabwe,field first,Zimbabwe,away,2003
Canada,Sri Lanka,36,37,10,1,Sri Lanka,Day,ICC World Cup,Prabath Nissanka,Sri Lanka,Sri Lanka,field first,South Africa,away,2003
England,Namibia,272,217,10,9,England,Day,ICC World Cup,Jan-Berrie Burger,Namibia,Namibia,field first,South Africa,away,2003
Australia,Netherlands,170,122,2,10,Australia,Day,ICC World Cup,Damien Martyn,Australia,Netherlands,field first,South Africa,away,2003
Bangladesh,South Africa,108,109,10,0,South Africa,Day,ICC World Cup,Makhaya Ntini,South Africa,South Africa,field first,South Africa,home,2003
England,Pakistan,246,134,8,10,England,Day and night,ICC World Cup,James Anderson,England,England,bat first,South Africa,away,2003
Canada,West Indies,202,206,10,3,West Indies,Day,ICC World Cup,John Davison,Canada,West Indies,field first,South Africa,away,2003
India,Namibia,311,130,2,10,India,Day,ICC World Cup,Sachin Tendulkar,India,Namibia,field first,South Africa,away,2003
Kenya,Sri Lanka,210,157,9,10,Kenya,Day,ICC World Cup,Collins Obuya,Kenya,Sri Lanka,field first,Kenya,home,2003
Zimbabwe,Australia,246,248,9,3,Australia,Day,ICC World Cup,Andy Blignaut,Zimbabwe,Zimbabwe,bat first,Zimbabwe,away,2003
Pakistan,Netherlands,253,156,9,10,Pakistan,Day,ICC World Cup,Mohammad Yousuf,Pakistan,Netherlands,field first,South Africa,away,2003
Bangladesh,New Zealand,198,199,7,3,New Zealand,Day,ICC World Cup,Craig McMillan,New Zealand,Bangladesh,bat first,South Africa,away,2003
India,England,250,168,9,10,India,Day and night,ICC World Cup,Ashish Nehra,India,India,bat first,South Africa,away,2003
Australia,Namibia,301,45,6,10,Australia,Day,ICC World Cup,Glenn McGrath,Australia,Australia,bat first,South Africa,away,2003
South Africa,Canada,254,136,8,5,South Africa,Day,ICC World Cup,Boeta Dippenaar,South Africa,Canada,field first,South Africa,home,2003
Zimbabwe,Netherlands,301,202,8,9,Zimbabwe,Day,ICC World Cup,Heath Streak,Zimbabwe,Netherlands,field first,Zimbabwe,home,2003
Sri Lanka,West Indies,228,222,6,9,Sri Lanka,Day and night,ICC World Cup,Chaminda Vaas,Sri Lanka,Sri Lanka,bat first,South Africa,away,2003
Kenya,Bangladesh,217,185,7,10,Kenya,Day,ICC World Cup,Maurice Odumbe,Kenya,Kenya,bat first,South Africa,away,2003
Pakistan,India,273,276,7,4,India,Day,ICC World Cup,Sachin Tendulkar,India,Pakistan,bat first,South Africa,away,2003
England,Australia,204,208,8,8,Australia,Day,ICC World Cup,Andy Bichel,Australia,England,bat first,South Africa,away,2003
Canada,New Zealand,196,197,10,5,New Zealand,Day,ICC World Cup,John Davison,Canada,New Zealand,field first,South Africa,away,2003
Netherlands,Namibia,314,250,4,10,Netherlands,Day,ICC World Cup,Feiko Kloppenburg,Netherlands,Netherlands,bat first,South Africa,away,2003
West Indies,Kenya,246,104,7,10,West Indies,Day,ICC World Cup,Vasbert Drakes,West Indies,West Indies,bat first,South Africa,away,2003
Australia,Sri Lanka,319,223,5,10,Australia,Day,ICC World Cup,Ricky Ponting,Australia,Australia,bat first,South Africa,away,2003
Kenya,India,225,226,6,4,India,Day and night,ICC World Cup,Sourav Ganguly,India,Kenya,bat first,South Africa,away,2003
Zimbabwe,New Zealand,252,253,7,4,New Zealand,Day,ICC World Cup,Nathan Astle,New Zealand,Zimbabwe,bat first,South Africa,away,2003
India,Sri Lanka,292,109,6,10,India,Day,ICC World Cup,Javagal Srinath,India,Sri Lanka,field first,South Africa,away,2003
Australia,New Zealand,208,112,9,10,Australia,Day,ICC World Cup,Shane Bond,New Zealand,New Zealand,field first,South Africa,away,2003
Zimbabwe,Kenya,133,135,10,3,Kenya,Day,ICC World Cup,Martin Suji,Kenya,Zimbabwe,bat first,South Africa,away,2003
New Zealand,India,146,150,10,3,India,Day,ICC World Cup,Zaheer Khan,India,India,field first,South Africa,away,2003
Sri Lanka,Zimbabwe,256,182,5,10,Sri Lanka,Day,ICC World Cup,Marvan Atapattu,Sri Lanka,Sri Lanka,bat first,South Africa,away,2003
Kenya,Australia,174,178,8,5,Australia,Day and night,ICC World Cup,Aasif Karim,Kenya,Australia,field first,South Africa,away,2003
Australia,Sri Lanka,212,123,7,7,Australia,Day,ICC World Cup,Andrew Symonds,Australia,Australia,bat first,South Africa,away,2003
India,Kenya,270,179,4,10,India,Day and night,ICC World Cup,Sourav Ganguly,India,India,bat first,South Africa,away,2003
Australia,India,359,234,2,10,Australia,Day,ICC World Cup,Ricky Ponting,Australia,India,field first,South Africa,away,2003
Pakistan,Zimbabwe,278,210,7,10,Pakistan,Day and night,Cherry Blossom Sharjah Cup,Abdul Razzaq,Pakistan,Pakistan,bat first,United Arab Emirates,away,2003
Sri Lanka,Pakistan,223,225,6,3,Pakistan,Day and night,Cherry Blossom Sharjah Cup,Kumar Sangakkara,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2003
Kenya,Zimbabwe,225,230,6,5,Zimbabwe,Day and night,Cherry Blossom Sharjah Cup,Dougie Marillier,Zimbabwe,Kenya,bat first,United Arab Emirates,away,2003
Sri Lanka,Kenya,256,127,5,10,Sri Lanka,Day and night,Cherry Blossom Sharjah Cup,Kumar Sangakkara,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2003
Sri Lanka,Zimbabwe,193,194,10,6,Zimbabwe,Day and night,Cherry Blossom Sharjah Cup,Grant Flower,Zimbabwe,Sri Lanka,bat first,United Arab Emirates,away,2003
Pakistan,Kenya,286,143,8,10,Pakistan,Day and night,Cherry Blossom Sharjah Cup,Shoaib Malik,Pakistan,Pakistan,bat first,United Arab Emirates,away,2003
Zimbabwe,Pakistan,168,172,10,2,Pakistan,Day and night,Cherry Blossom Sharjah Cup,Taufeeq Umar,Pakistan,Zimbabwe,bat first,United Arab Emirates,away,2003
India,Bangladesh,276,76,10,10,India,Day and night,TVS Cup (Bangladesh),Yuvraj Singh,India,India,bat first,Bangladesh,away,2003
India,South Africa,307,154,4,10,India,Day and night,TVS Cup (Bangladesh),Mohammad Kaif,India,India,bat first,Bangladesh,away,2003
South Africa,Bangladesh,294,211,3,10,South Africa,Day and night,TVS Cup (Bangladesh),Mohammad Ashraful,Bangladesh,South Africa,bat first,Bangladesh,away,2003
Bangladesh,India,207,208,10,6,India,Day and night,TVS Cup (Bangladesh),Gautam Gambhir,India,Bangladesh,bat first,Bangladesh,away,2003
South Africa,Bangladesh,261,168,5,10,South Africa,Day and night,TVS Cup (Bangladesh),Shaun Pollock,South Africa,South Africa,bat first,Bangladesh,away,2003
India,South Africa,215,216,10,5,South Africa,Day and night,TVS Cup (Bangladesh),Neil McKenzie,South Africa,India,bat first,Bangladesh,away,2003
Pakistan,Sri Lanka,199,120,8,10,Pakistan,Day,Bank Alfalah Cup,Mohammad Hafeez,Pakistan,Sri Lanka,field first,Sri Lanka,away,2003
Pakistan,New Zealand,116,117,10,3,New Zealand,Day,Bank Alfalah Cup,Daryl Tuffey,New Zealand,New Zealand,field first,Sri Lanka,away,2003
New Zealand,Sri Lanka,139,143,10,5,Sri Lanka,Day,Bank Alfalah Cup,Romesh Kaluwitharana,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,2003
Australia,West Indies,270,205,5,8,Australia,Day,Australia tour of West Indies,Ricky Ponting,Australia,West Indies,field first,West Indies,away,2003
Sri Lanka,Pakistan,172,160,10,10,Sri Lanka,Day,Bank Alfalah Cup,Muthiah Muralidaran,Sri Lanka,Pakistan,field first,Sri Lanka,home,2003
West Indies,Australia,163,166,10,2,Australia,Day,Australia tour of West Indies,Glenn McGrath,Australia,West Indies,bat first,West Indies,away,2003
New Zealand,Sri Lanka,156,147,8,10,New Zealand,Day,Bank Alfalah Cup,Daniel Vettori,New Zealand,Sri Lanka,field first,Sri Lanka,away,2003
Pakistan,New Zealand,203,181,9,10,Pakistan,Day,Bank Alfalah Cup,Shoaib Malik,Pakistan,New Zealand,field first,Sri Lanka,away,2003
Australia,West Indies,258,233,4,9,Australia,Day,Australia tour of West Indies,Michael Clarke,Australia,West Indies,field first,West Indies,away,2003
Pakistan,New Zealand,198,200,10,6,New Zealand,Day,Bank Alfalah Cup,Stephen Fleming,New Zealand,Pakistan,bat first,Sri Lanka,away,2003
Australia,West Indies,286,219,5,10,Australia,Day,Australia tour of West Indies,Adam Gilchrist,Australia,Australia,bat first,West Indies,away,2003
West Indies,Australia,290,251,5,9,West Indies,Day,Australia tour of West Indies,Brian Lara,West Indies,West Indies,bat first,West Indies,home,2003
Australia,West Indies,252,254,10,7,West Indies,Day,Australia tour of West Indies,Wavell Hinds,West Indies,Australia,bat first,Grenada,away,2003
Australia,West Indies,247,249,8,1,West Indies,Day,Australia tour of West Indies,Chris Gayle,West Indies,Australia,bat first,Grenada,away,2003
Sri Lanka,West Indies,201,146,10,10,Sri Lanka,Day,Sri Lanka tour of West Indies,Muthiah Muralidaran,Sri Lanka,West Indies,field first,West Indies,away,2003
West Indies,Sri Lanka,312,313,4,6,Sri Lanka,Day,Sri Lanka tour of West Indies,Upul Chandana,Sri Lanka,West Indies,bat first,West Indies,away,2003
Sri Lanka,West Indies,191,160,10,4,West Indies,Day,Sri Lanka tour of West Indies,Marlon Samuels,West Indies,West Indies,field first,West Indies,home,2003
England,Pakistan,204,208,9,8,Pakistan,Day and night,Pakistan tour of England and Scotland,Mohammad Hafeez,Pakistan,England,bat first,England,away,2003
Pakistan,England,185,189,10,3,England,Day,Pakistan tour of England and Scotland,Marcus Trescothick,England,Pakistan,bat first,England,home,2003
Pakistan,England,229,231,7,6,England,Day,Pakistan tour of England and Scotland,Marcus Trescothick,England,England,field first,England,home,2003
England,Zimbabwe,191,195,8,6,Zimbabwe,Day,NatWest Series,Grant Flower,Zimbabwe,Zimbabwe,field first,England,away,2003
South Africa,England,264,265,6,4,England,Day,NatWest Series,Vikram Solanki,England,South Africa,bat first,England,home,2003
South Africa,Zimbabwe,272,226,5,9,South Africa,Day,NatWest Series,Jacques Kallis,South Africa,Zimbabwe,field first,England,away,2003
England,South Africa,223,227,7,3,South Africa,Day and night,NatWest Series,Jacques Kallis,South Africa,England,bat first,England,away,2003
Zimbabwe,South Africa,174,175,8,1,South Africa,Day,NatWest Series,Herschelle Gibbs,South Africa,South Africa,field first,Wales,away,2003
Zimbabwe,England,92,95,10,4,England,Day,NatWest Series,Andrew Flintoff,England,England,field first,England,home,2003
South Africa,England,198,199,9,6,England,Day and night,NatWest Series,Andrew Flintoff,England,South Africa,bat first,England,home,2003
Zimbabwe,South Africa,173,174,8,3,South Africa,Day,NatWest Series,Makhaya Ntini,South Africa,Zimbabwe,bat first,England,away,2003
South Africa,England,107,111,10,3,England,Day,NatWest Series,Darren Gough,England,England,field first,England,home,2003
Bangladesh,Australia,105,107,10,2,Australia,Day,Bangladesh tour of Australia,Brett Lee,Australia,Australia,field first,Australia,home,2003
Bangladesh,Australia,147,148,10,1,Australia,Day,Bangladesh tour of Australia,Damien Martyn,Australia,Bangladesh,bat first,Australia,home,2003
Australia,Bangladesh,254,142,7,10,Australia,Day,Bangladesh tour of Australia,Ricky Ponting,Australia,Australia,bat first,Australia,home,2003
Pakistan,Bangladesh,323,186,3,10,Pakistan,Day,Bangladesh tour of Pakistan,Yasir Hameed,Pakistan,Pakistan,bat first,Pakistan,home,2003
Pakistan,Bangladesh,243,169,8,10,Pakistan,Day,Bangladesh tour of Pakistan,Mohammad Yousuf,Pakistan,Pakistan,bat first,Pakistan,home,2003
Pakistan,Bangladesh,257,201,9,9,Pakistan,Day and night,Bangladesh tour of Pakistan,Umar Gul,Pakistan,Pakistan,bat first,Pakistan,home,2003
